Date,Open,High,Low,Close,Close,Volume
12/3/2021,242.259995,243.389999,215.789993,217.100006,217.100006,3208700
12/6/2021,216.5,217.419998,207.050003,212.940002,212.940002,2539600
12/7/2021,224.399994,230.050003,220.5,222.559998,222.559998,1970200
12/8/2021,224.949997,227.479996,220.039993,225.610001,225.610001,1644600
12/9/2021,225.610001,229.009995,215.800003,216.350006,216.350006,1512200
12/10/2021,220.589996,223.320007,214.550003,215.020004,215.020004,1639000
12/13/2021,215.630005,220.350006,208.479996,213.520004,213.520004,2446800
12/14/2021,205.100006,206.190002,194.139999,202.320007,202.320007,3418100
12/15/2021,203.309998,204.970001,192.830002,204.039993,204.039993,2771500
12/16/2021,209.600006,211,189.509995,190.850006,190.850006,3215400
12/17/2021,185.649994,192.300003,178.690002,189.110001,189.110001,4416700
12/20/2021,179.679993,185.630005,175.050003,178.729996,178.729996,3834800
12/21/2021,181.830002,189.529999,180,189,189,2088400
12/22/2021,186.729996,191.309998,185.490005,189.330002,189.330002,1378500
12/23/2021,190.490005,191.289993,186.589996,188.169998,188.169998,1250500
12/27/2021,189.899994,191,184.630005,188.690002,188.690002,1272500
12/28/2021,190.470001,190.830002,184.669998,186.789993,186.789993,1193100
12/29/2021,186.539993,187.729996,181.149994,185.470001,185.470001,1102600
12/30/2021,185.75,189.520004,183.100006,186.410004,186.410004,1204700
12/31/2021,186.899994,188.429993,182.789993,182.940002,182.940002,1107000
1/3/2022,185.229996,187.580002,180.699997,184.449997,184.449997,1490600
1/4/2022,187.589996,188,171.300003,178.279999,178.279999,2484000
1/5/2022,174.559998,174.850006,156.759995,157.199997,157.199997,4059000
1/6/2022,156.009995,156.229996,145.820007,151.490005,151.490005,3546200
1/7/2022,152.110001,154.949997,144.169998,145.130005,145.130005,3563000
1/10/2022,140.210007,147.389999,137.660004,147.130005,147.130005,3730100
1/11/2022,145.919998,151.289993,145.25,148.509995,148.509995,3007600
1/12/2022,150.520004,154.130005,147.350006,149.279999,149.279999,2430500
1/13/2022,156.639999,157.360001,143.199997,143.490005,143.490005,2765400
1/14/2022,141.559998,147,138.880005,142.839996,142.839996,2134800
1/18/2022,139.770004,142.360001,135.699997,135.919998,135.919998,2677900
1/19/2022,138,140.309998,133.660004,134.580002,134.580002,2400800
1/20/2022,137.970001,143.089996,134.300003,134.690002,134.690002,2711200
1/21/2022,131.899994,133.559998,124.519997,126.019997,126.019997,3896900
1/24/2022,119.769997,128.309998,113.400002,128.100006,128.100006,5200000
1/25/2022,123,127.459999,120.480003,122.650002,122.650002,2785800
1/26/2022,126.669998,130.669998,119.800003,121.75,121.75,4013900
1/27/2022,125.199997,125.779999,119.620003,119.970001,119.970001,2730800
1/28/2022,120.32,124.279999,113.970001,123.860001,123.860001,3074600
1/31/2022,125,140.75,125,140.470001,140.470001,3988900
2/1/2022,141.190002,143.350006,136.619995,142.669998,142.669998,2605200
2/2/2022,144.899994,145.259995,138.589996,139.509995,139.509995,2375000
2/3/2022,134,139.020004,130.070007,132.910004,132.910004,2912500
2/4/2022,133.720001,143.419998,131.649994,141.229996,141.229996,2536900
2/7/2022,140.520004,146.740005,139.470001,140.770004,140.770004,3609400
2/8/2022,139.199997,145.669998,137.179993,144.5,144.5,4026400
2/9/2022,178.520004,183.149994,154.600006,161.889999,161.889999,24860600
2/10/2022,156.190002,166.710007,153.270004,154.639999,154.639999,5356100
2/11/2022,154.070007,156.839996,143.779999,145.690002,145.690002,3384300
2/14/2022,145.830002,149.979996,142.380005,143.929993,143.929993,2439200
2/15/2022,147.610001,154.889999,147.570007,154.289993,154.289993,3053200
2/16/2022,149.600006,154.839996,146.800003,154.029999,154.029999,1972500
2/17/2022,151.229996,154.770004,147.820007,148.369995,148.369995,1675700
2/18/2022,148.440002,148.960007,139.279999,140.350006,140.350006,2610300
2/22/2022,137.190002,139.899994,131.300003,133.029999,133.029999,2587900
2/23/2022,135,135.520004,126.120003,126.559998,126.559998,2107500
2/24/2022,119,147.929993,118.57,147.350006,147.350006,5034800
2/25/2022,148,154.570007,146.039993,153.729996,153.729996,3086900
2/28/2022,157.399994,167.949997,157.399994,166.699997,166.699997,5368900
3/1/2022,167.539993,172.869995,163.520004,170.600006,170.600006,3539800
3/2/2022,169.880005,169.880005,159.529999,163.889999,163.889999,3473300
3/3/2022,164.860001,165.729996,157.210007,159.029999,159.029999,2329200
3/4/2022,159.820007,164.25,152.949997,158.149994,158.149994,2512400
3/7/2022,162.699997,168,158.679993,158.809998,158.809998,3294100
3/8/2022,160,182.649994,158.949997,175.990005,175.990005,6830000
3/9/2022,173.050003,182,167.100006,179.869995,179.869995,4552000
3/10/2022,178.940002,180.399994,169.199997,178.720001,178.720001,3117800
3/11/2022,179.25,186.380005,170.889999,171.070007,171.070007,2771500
3/14/2022,169,171.880005,155.009995,157.639999,157.639999,3058600
3/15/2022,157.869995,164.839996,150.880005,164.639999,164.639999,2732300
3/16/2022,166.229996,177.860001,164.699997,177.210007,177.210007,3147900
3/17/2022,174.440002,183.449997,172.789993,180.850006,180.850006,2314900
3/18/2022,179.270004,185.320007,178.25,184.520004,184.520004,3194400
3/21/2022,184.619995,187.940002,179.399994,185.449997,185.449997,1974200
3/22/2022,185.449997,195.789993,184.309998,189.25,189.25,2333300
3/23/2022,184.889999,197.919998,184.139999,190.190002,190.190002,1908100
3/24/2022,191.240005,197.860001,189.330002,197.839996,197.839996,1983500
3/25/2022,197.630005,198.649994,187.300003,193.809998,193.809998,2009000
3/28/2022,191.169998,201.339996,189.649994,195.520004,195.520004,2055000
3/29/2022,196,202.520004,188.550003,202.360001,202.360001,2397800
3/30/2022,201.729996,203.850006,195.580002,196.649994,196.649994,1671800
3/31/2022,197.690002,205.869995,195.619995,201.779999,201.779999,1851500
4/1/2022,201.029999,208.699997,201.020004,205.889999,205.889999,2047200
4/4/2022,207.270004,217.289993,207.110001,216.380005,216.380005,2389200
4/5/2022,216,220.990005,209.660004,211.229996,211.229996,3024100
4/6/2022,206.600006,208.800003,197.080002,203.990005,203.990005,2996800
4/7/2022,203.759995,215.470001,201.289993,206.949997,206.949997,2977300
4/8/2022,204,206.139999,194.740005,195.139999,195.139999,1820100
4/11/2022,191,194.320007,185.240005,187.880005,187.880005,2683400
4/12/2022,192,194.889999,185.600006,185.949997,185.949997,1863600
4/13/2022,187.470001,193.75,184.509995,193.229996,193.229996,1480300
4/14/2022,192.119995,197.289993,189.899994,190.509995,190.509995,1543200
4/18/2022,190,192.729996,187.059998,190.029999,190.029999,1506900
4/19/2022,190.320007,195.960007,185.389999,195.600006,195.600006,1646600
4/20/2022,197.270004,197.850006,176.720001,178.529999,178.529999,2797600
4/21/2022,181.970001,181.970001,154.410004,156.559998,156.559998,5301500
4/22/2022,156.910004,161.470001,150.520004,153.630005,153.630005,3877600
4/25/2022,151,158.259995,146.619995,157.600006,157.600006,2829000
4/26/2022,154.679993,158.759995,151.229996,153.830002,153.830002,3597100
4/27/2022,169.5,178.25,161.600006,165.710007,165.710007,7930000
4/28/2022,170.389999,172.479996,156.419998,164.470001,164.470001,3332600
4/29/2022,163.449997,170.820007,160.130005,161.399994,161.399994,2422700
5/2/2022,159.369995,168.759995,158.179993,168.330002,168.330002,1927300
5/3/2022,168.119995,177.009995,166.009995,174.529999,174.529999,2208400
5/4/2022,175.479996,192.899994,174.279999,191.940002,191.940002,3644700
5/5/2022,188.389999,190.919998,177.820007,181.139999,181.139999,2194600
5/6/2022,179.639999,179.860001,164.720001,165.889999,165.889999,2543200
5/9/2022,160.399994,163.740005,146.619995,150.509995,150.509995,3022100
5/10/2022,156.789993,161.979996,144.320007,151.649994,151.649994,2777100
5/11/2022,149.279999,151.589996,136.490005,137.550003,137.550003,3171400
5/12/2022,133.149994,147.509995,128.669998,140.940002,140.940002,3932100
5/13/2022,146.619995,159.460007,146,157.789993,157.789993,3090300
5/16/2022,154.199997,159.919998,150.449997,151.029999,151.029999,1795000
5/17/2022,156.990005,161.210007,151.100006,158.110001,158.110001,1524500
5/18/2022,155.009995,166.149994,154.199997,156.169998,156.169998,2077300
5/19/2022,156.169998,173.979996,156.169998,165.539993,165.539993,2967000
5/20/2022,169,171.550003,160.770004,168.25,168.25,2503800
5/23/2022,168.580002,170.509995,161.690002,169.550003,169.550003,1640600
5/24/2022,167.220001,168.699997,159.600006,162.509995,162.509995,1840600
5/25/2022,160.679993,171,160.679993,169.279999,169.279999,1568300
5/26/2022,167.5,181,165.960007,178.779999,178.779999,2104800
5/27/2022,180.720001,190.199997,180.300003,188.949997,188.949997,2239500
5/31/2022,188.970001,193.580002,183.410004,186.190002,186.190002,2709400
6/1/2022,187.710007,191.5,180.350006,182.490005,182.490005,1479700
6/2/2022,183.119995,200.679993,182.270004,198.929993,198.929993,2941100
6/3/2022,192.860001,203.75,190.199997,196.339996,196.339996,2081500
6/6/2022,211,215.350006,204.309998,206.970001,206.970001,4167800
6/7/2022,203.729996,210.169998,201.850006,209.630005,209.630005,2066800
6/8/2022,209.339996,217.229996,202.660004,204.770004,204.770004,2230200
6/9/2022,203.169998,209.75,200.419998,200.509995,200.509995,1710300
6/10/2022,197.190002,203.220001,191.600006,196.190002,196.190002,2394500
6/13/2022,182.580002,187.050003,173.559998,178.240005,178.240005,3462900
6/14/2022,179.960007,182.119995,174.600006,179.520004,179.520004,1761700
6/15/2022,180.240005,191.220001,175.550003,188.479996,188.479996,2424800
6/16/2022,180,184,167.229996,169.600006,169.600006,2821800
6/17/2022,170.5,187.679993,168.270004,184.75,184.75,3829300
6/21/2022,187.910004,198.729996,187.910004,193.289993,193.289993,2677200
6/22/2022,187,198,185.520004,193.429993,193.429993,2567700
6/23/2022,195.830002,201.789993,189.929993,200.669998,200.669998,2464500
6/24/2022,203.690002,204.419998,190.410004,198.389999,198.389999,3448800
6/27/2022,201.919998,210.100006,199.600006,206.169998,206.169998,2765700
6/28/2022,206.169998,207.190002,189.399994,190.649994,190.649994,2431300
6/29/2022,185.949997,186.789993,178.5,184.639999,184.639999,3019000
6/30/2022,185.699997,198.809998,182.720001,195.240005,195.240005,3264900
7/1/2022,193.5,200.850006,191.050003,195.720001,195.720001,2068400
7/5/2022,190.070007,193.639999,179.199997,192.589996,192.589996,2619800
7/6/2022,193.440002,199.410004,190.089996,194.929993,194.929993,1642300
7/7/2022,199.369995,212.889999,198.639999,206.839996,206.839996,3826200
7/8/2022,204.809998,219.089996,200.910004,216.449997,216.449997,3578800
7/11/2022,214.610001,214.869995,203.509995,206.059998,206.059998,2479000
7/12/2022,206.399994,208.740005,187.850006,189.470001,189.470001,3494900
7/13/2022,185.009995,197.850006,182.279999,192.630005,192.630005,2599800
7/14/2022,191.720001,197.449997,185.199997,196.919998,196.919998,1882700
7/15/2022,190,195.179993,175,194.910004,194.910004,6620200
7/18/2022,199.610001,213.660004,199.610001,206.429993,206.429993,3490600
7/19/2022,208.639999,213.660004,203.589996,213.339996,213.339996,3147000
7/20/2022,212.839996,221.350006,211.729996,218.830002,218.830002,2813600
7/21/2022,218.710007,219.910004,212.199997,219.779999,219.779999,1935600
7/22/2022,220.449997,225.600006,211.110001,211.539993,211.539993,2532100
7/25/2022,213.490005,219.380005,207.160004,218.550003,218.550003,2734300
7/26/2022,216.080002,219.789993,213.289993,216.100006,216.100006,3094700
7/27/2022,235.279999,257.549988,229,254.770004,254.770004,11773500
7/28/2022,271.399994,285,263.5,274.179993,274.179993,9418600
7/29/2022,268,287.380005,267.5,284.179993,284.179993,5299700
8/1/2022,282.910004,290.470001,277.320007,280.890015,280.890015,4427400
8/2/2022,278.269989,298.970001,273.299988,292.26001,292.26001,4410100
8/3/2022,290.519989,292.690002,275.230011,290.25,290.25,4582100
8/4/2022,289.390015,298.23999,284.779999,295.820007,295.820007,2959100
8/5/2022,296.200012,305.880005,289.100006,300.910004,300.910004,3669800
8/8/2022,305.119995,308.880005,283.609985,287.73999,287.73999,4285700
8/9/2022,282.899994,295.649994,280.350006,290.820007,290.820007,3428300
8/10/2022,298.75,304.320007,287.48999,303.25,303.25,3148200
8/11/2022,305.480011,305.609985,291.5,292.899994,292.899994,2903300
8/12/2022,295.450012,300.23999,291.390015,299.26001,299.26001,2421900
8/15/2022,295.75,306.5,292.600006,301.130005,301.130005,2489500
8/16/2022,298.880005,299.579987,289.559998,292.940002,292.940002,3551300
8/17/2022,289.410004,296.790009,284.549988,293.130005,293.130005,2181600
8/18/2022,297.5,304.480011,293.679993,294,294,2134900
8/19/2022,287.579987,289.23999,280.779999,283.700012,283.700012,2668200
8/22/2022,276.049988,285.200012,272.709991,280.76001,280.76001,2327600
8/23/2022,282.23999,287,278.190002,285.410004,285.410004,2282200
8/24/2022,285.450012,297.649994,283.5,293.089996,293.089996,1988200
8/25/2022,296,299.920013,289.589996,299.809998,299.809998,1732000
8/26/2022,300,305.660004,288.160004,288.589996,288.589996,2459100
8/29/2022,284.25,295.799988,283.01001,284.820007,284.820007,2939100
8/30/2022,288.450012,296.820007,276.700012,285.769989,285.769989,3438400
8/31/2022,291.140015,293.799988,280.529999,286.440002,286.440002,2715900
9/1/2022,280.290009,285.540009,271.75,281.859985,281.859985,2678900
9/2/2022,284.5,287.690002,274.309998,279.070007,279.070007,2526700
9/6/2022,282.910004,297.98999,278.920013,292.820007,292.820007,4050100
9/7/2022,291.220001,318.220001,291.119995,316.309998,316.309998,7161800
9/8/2022,315,324.839996,311.200012,317.410004,317.410004,4505200
9/9/2022,312,314.5,294.200012,305.700012,305.700012,5651300
9/12/2022,304.269989,309.790009,297.109985,308.929993,308.929993,3525900
9/13/2022,297.290009,311.48999,293.040009,305.5,305.5,4449600
9/14/2022,306.040009,320.970001,298.619995,320.619995,320.619995,4222000
9/15/2022,316.309998,322.950012,307.670013,312.179993,312.179993,3821200
9/16/2022,306.929993,318.320007,301.839996,318.01001,318.01001,4850300
9/19/2022,313,319.649994,309.880005,316.230011,316.230011,3014000
9/20/2022,314.910004,317.279999,304.5,304.709991,304.709991,2624600
9/21/2022,306.75,318.48999,297.339996,304.559998,304.559998,4194300
9/22/2022,301.899994,306,280.980011,283.630005,283.630005,4696100
9/23/2022,279.029999,281.5,270.570007,279.48999,279.48999,3933500
9/26/2022,277.859985,288.950012,273.670013,274.920013,274.920013,3358900
9/27/2022,285.100006,294.799988,282.040009,284.809998,284.809998,3689600
9/28/2022,282,294.390015,279.200012,292.309998,292.309998,2742300
9/29/2022,287.579987,290.980011,273.619995,277.839996,277.839996,3572800
9/30/2022,276.649994,286.730011,273.399994,277.470001,277.470001,3134100
10/3/2022,279.540009,289.429993,278.5,286.609985,286.609985,3068700
10/4/2022,296,297.709991,286.380005,288.25,288.25,3635100
10/5/2022,284.73999,285.380005,248.130005,261.600006,261.600006,12141100
10/6/2022,260,269.329987,254.610001,257.450012,257.450012,4470900
10/7/2022,253.899994,263.73999,252.259995,255.149994,255.149994,4863500
