Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,1.360000,1.370000,1.240000,1.270000,1.270000,56684400
2021-11-30,1.220000,1.290000,1.140000,1.190000,1.190000,55145400
2021-12-01,1.190000,1.290000,1.080000,1.100000,1.100000,62312300
2021-12-02,1.100000,1.150000,1.060000,1.110000,1.110000,31228300
2021-12-03,1.110000,1.110000,1.000000,1.020000,1.020000,34748500
2021-12-06,1.010000,1.140000,0.950000,1.110000,1.110000,32876500
2021-12-07,1.140000,1.150000,1.100000,1.120000,1.120000,23963800
2021-12-08,1.120000,1.190000,1.080000,1.160000,1.160000,26319700
2021-12-09,1.120000,1.140000,1.070000,1.070000,1.070000,17591500
2021-12-10,1.080000,1.100000,1.050000,1.100000,1.100000,13013800
2021-12-13,1.100000,1.100000,1.030000,1.040000,1.040000,20193000
2021-12-14,1.010000,1.110000,1.000000,1.040000,1.040000,21109000
2021-12-15,1.030000,1.100000,1.000000,1.090000,1.090000,22890700
2021-12-16,1.070000,1.110000,1.010000,1.030000,1.030000,24987900
2021-12-17,1.010000,1.080000,0.980000,1.050000,1.050000,34856700
2021-12-20,1.000000,1.030000,0.980000,1.010000,1.010000,20744900
2021-12-21,1.000000,1.010000,0.830000,0.880000,0.880000,47776700
2021-12-22,0.860000,0.860000,0.780000,0.790000,0.790000,26773000
2021-12-23,0.760000,0.920000,0.760000,0.880000,0.880000,38013600
2021-12-27,1.060000,1.100000,0.970000,1.010000,1.010000,93363000
2021-12-28,0.950000,1.000000,0.900000,0.920000,0.920000,20455700
2021-12-29,0.910000,0.950000,0.870000,0.900000,0.900000,16640300
2021-12-30,0.890000,0.920000,0.880000,0.890000,0.890000,15694300
2021-12-31,0.880000,0.900000,0.840000,0.850000,0.850000,13393600
2022-01-03,0.860000,0.940000,0.850000,0.900000,0.900000,22633600
2022-01-04,0.930000,0.970000,0.900000,0.910000,0.910000,13773700
2022-01-05,0.910000,0.910000,0.820000,0.840000,0.840000,13368500
2022-01-06,0.910000,0.920000,0.840000,0.860000,0.860000,14477500
2022-01-07,0.840000,0.850000,0.820000,0.820000,0.820000,10752300
2022-01-10,0.820000,0.820000,0.760000,0.800000,0.800000,14783300
2022-01-11,0.780000,0.830000,0.770000,0.800000,0.800000,16197500
2022-01-12,0.820000,0.830000,0.770000,0.770000,0.770000,11801000
2022-01-13,0.770000,0.780000,0.700000,0.720000,0.720000,13985000
2022-01-14,0.730000,0.770000,0.720000,0.750000,0.750000,13349100
2022-01-18,0.700000,0.720000,0.680000,0.710000,0.710000,16317400
2022-01-19,0.690000,0.700000,0.630000,0.660000,0.660000,13452700
2022-01-20,0.650000,0.660000,0.610000,0.610000,0.610000,12055700
2022-01-21,0.570000,0.600000,0.550000,0.550000,0.550000,12439100
2022-01-24,0.530000,0.600000,0.470000,0.570000,0.570000,22939600
2022-01-25,0.570000,0.690000,0.550000,0.630000,0.630000,37116100
2022-01-26,0.650000,0.650000,0.580000,0.590000,0.590000,14130100
2022-01-27,0.600000,0.610000,0.550000,0.560000,0.560000,9445800
2022-01-28,0.560000,0.570000,0.540000,0.560000,0.560000,8590100
2022-01-31,0.570000,0.600000,0.560000,0.580000,0.580000,16477800
2022-02-01,0.590000,0.620000,0.570000,0.610000,0.610000,13082100
2022-02-02,0.610000,0.620000,0.580000,0.580000,0.580000,9193900
2022-02-03,0.570000,0.580000,0.560000,0.560000,0.560000,7662100
2022-02-04,0.560000,0.590000,0.560000,0.560000,0.560000,8986100
2022-02-07,0.570000,0.570000,0.530000,0.540000,0.540000,11341400
2022-02-08,0.540000,0.550000,0.510000,0.540000,0.540000,8701700
2022-02-09,0.540000,0.570000,0.530000,0.570000,0.570000,13771300
2022-02-10,0.550000,0.580000,0.540000,0.540000,0.540000,10402800
2022-02-11,0.550000,0.550000,0.520000,0.530000,0.530000,8316700
2022-02-14,0.550000,0.560000,0.530000,0.530000,0.530000,9649800
2022-02-15,0.540000,0.550000,0.520000,0.530000,0.530000,9801900
2022-02-16,0.530000,0.550000,0.530000,0.530000,0.530000,7795000
2022-02-17,0.530000,0.570000,0.520000,0.520000,0.520000,16552800
2022-02-18,0.530000,0.530000,0.500000,0.500000,0.500000,8230300
2022-02-22,0.500000,0.500000,0.450000,0.460000,0.460000,11716700
2022-02-23,0.470000,0.650000,0.460000,0.590000,0.590000,94640800
2022-02-24,0.810000,1.000000,0.690000,0.750000,0.750000,304589300
2022-02-25,0.740000,0.750000,0.640000,0.690000,0.690000,95487100
2022-02-28,0.740000,0.800000,0.690000,0.710000,0.710000,106071600
2022-03-01,0.710000,0.720000,0.610000,0.640000,0.640000,65224100
2022-03-02,0.670000,0.680000,0.630000,0.650000,0.650000,38712800
2022-03-03,0.650000,0.650000,0.580000,0.590000,0.590000,36423800
2022-03-04,0.580000,0.800000,0.550000,0.780000,0.780000,184305900
2022-03-07,0.900000,1.470000,0.850000,1.280000,1.280000,647445500
2022-03-08,1.670000,1.980000,1.000000,1.240000,1.240000,721290400
2022-03-09,1.060000,1.240000,1.010000,1.070000,1.070000,210233800
2022-03-10,1.200000,1.230000,1.040000,1.070000,1.070000,130915100
2022-03-11,1.000000,1.010000,0.880000,0.920000,0.920000,105871100
2022-03-14,0.800000,0.910000,0.800000,0.870000,0.870000,79034000
2022-03-15,0.790000,0.840000,0.700000,0.770000,0.770000,99201300
2022-03-16,0.800000,0.860000,0.750000,0.790000,0.790000,52394500
2022-03-17,0.840000,0.920000,0.840000,0.880000,0.880000,109112700
2022-03-18,0.910000,0.920000,0.820000,0.830000,0.830000,72488600
2022-03-21,0.880000,1.020000,0.860000,0.940000,0.940000,138654300
2022-03-22,0.940000,0.940000,0.900000,0.930000,0.930000,56276400
2022-03-23,0.950000,1.050000,0.940000,0.980000,0.980000,118084600
2022-03-24,0.980000,0.990000,0.880000,0.910000,0.910000,68749200
2022-03-25,0.850000,0.930000,0.820000,0.870000,0.870000,57650400
2022-03-28,0.830000,0.870000,0.820000,0.860000,0.860000,37547600
2022-03-29,0.820000,0.870000,0.790000,0.860000,0.860000,30605100
2022-03-30,0.860000,0.920000,0.840000,0.880000,0.880000,35588800
2022-03-31,0.860000,0.870000,0.830000,0.850000,0.850000,18130100
2022-04-01,0.830000,0.860000,0.820000,0.830000,0.830000,16193700
2022-04-04,0.830000,0.860000,0.810000,0.840000,0.840000,27365500
2022-04-05,0.840000,0.860000,0.800000,0.810000,0.810000,18798400
2022-04-06,0.810000,0.820000,0.770000,0.820000,0.820000,19794100
2022-04-07,0.790000,0.810000,0.760000,0.790000,0.790000,13264300
2022-04-08,0.770000,0.790000,0.760000,0.760000,0.760000,12500700
2022-04-11,0.750000,0.750000,0.700000,0.730000,0.730000,17590600
2022-04-12,0.730000,0.770000,0.670000,0.690000,0.690000,23641600
2022-04-13,0.700000,0.870000,0.680000,0.820000,0.820000,59133800
2022-04-14,0.820000,0.920000,0.770000,0.870000,0.870000,64654200
2022-04-18,0.990000,1.090000,0.960000,1.050000,1.050000,141977500
2022-04-19,0.980000,1.050000,0.920000,0.990000,0.990000,72748300
2022-04-20,1.000000,1.070000,0.960000,1.020000,1.020000,59560100
2022-04-21,1.020000,1.020000,0.900000,0.910000,0.910000,57198600
2022-04-22,0.840000,0.900000,0.810000,0.830000,0.830000,36800200
2022-04-25,0.790000,0.820000,0.760000,0.800000,0.800000,37635300
2022-04-26,0.790000,0.880000,0.770000,0.770000,0.770000,40441400
2022-04-27,0.820000,0.830000,0.790000,0.820000,0.820000,26763700
2022-04-28,0.800000,0.830000,0.770000,0.800000,0.800000,22456300
2022-04-29,0.800000,0.840000,0.780000,0.790000,0.790000,20152400
2022-05-02,0.770000,0.780000,0.750000,0.770000,0.770000,20886000
2022-05-03,0.760000,0.810000,0.760000,0.780000,0.780000,16491900
2022-05-04,0.800000,0.810000,0.790000,0.810000,0.810000,20908000
2022-05-05,0.810000,0.880000,0.790000,0.800000,0.800000,37119100
2022-05-06,0.800000,0.810000,0.760000,0.770000,0.770000,15253500
2022-05-09,0.750000,0.760000,0.660000,0.670000,0.670000,25812900
2022-05-10,0.690000,0.710000,0.590000,0.640000,0.640000,19924500
2022-05-11,0.640000,0.670000,0.610000,0.610000,0.610000,14483800
2022-05-12,0.570000,0.620000,0.570000,0.600000,0.600000,16815100
2022-05-13,0.630000,0.720000,0.630000,0.680000,0.680000,25146300
2022-05-16,0.710000,0.800000,0.690000,0.760000,0.760000,36023900
2022-05-17,0.760000,0.770000,0.720000,0.740000,0.740000,21513600
2022-05-18,0.790000,0.810000,0.730000,0.760000,0.760000,20732000
2022-05-19,0.750000,0.770000,0.730000,0.760000,0.760000,16836500
2022-05-20,0.820000,0.860000,0.760000,0.780000,0.780000,43145800
2022-05-23,0.750000,0.750000,0.690000,0.710000,0.710000,21758700
2022-05-24,0.700000,0.710000,0.630000,0.640000,0.640000,23972000
2022-05-25,0.620000,0.670000,0.620000,0.660000,0.660000,16128300
2022-05-26,0.650000,0.680000,0.640000,0.650000,0.650000,17398900
2022-05-27,0.660000,0.680000,0.640000,0.660000,0.660000,26033900
2022-05-31,0.710000,0.710000,0.670000,0.670000,0.670000,31619500
2022-06-01,0.660000,0.660000,0.630000,0.640000,0.640000,16678500
2022-06-02,0.610000,0.670000,0.610000,0.650000,0.650000,24613800
2022-06-03,0.640000,0.650000,0.630000,0.640000,0.640000,18860800
2022-06-06,0.640000,0.640000,0.610000,0.610000,0.610000,23244700
2022-06-07,0.600000,0.630000,0.590000,0.610000,0.610000,31143800
2022-06-08,0.610000,0.660000,0.590000,0.600000,0.600000,90374300
2022-06-09,0.600000,0.600000,0.560000,0.560000,0.560000,41809200
2022-06-10,0.550000,0.560000,0.520000,0.540000,0.540000,23809300
2022-06-13,0.500000,0.510000,0.470000,0.500000,0.500000,23886700
2022-06-14,0.520000,0.520000,0.480000,0.490000,0.490000,18430300
2022-06-15,0.490000,0.500000,0.480000,0.490000,0.490000,14770800
2022-06-16,0.480000,0.490000,0.460000,0.480000,0.480000,20905100
2022-06-17,0.470000,0.480000,0.440000,0.470000,0.470000,33047800
2022-06-21,0.460000,0.480000,0.460000,0.460000,0.460000,20221900
2022-06-22,0.440000,0.450000,0.430000,0.440000,0.440000,20687700
2022-06-23,0.430000,0.440000,0.410000,0.420000,0.420000,19682200
2022-06-24,0.430000,0.450000,0.420000,0.430000,0.430000,17190800
2022-06-27,0.440000,0.450000,0.430000,0.430000,0.430000,14122900
2022-06-28,0.430000,0.440000,0.420000,0.420000,0.420000,14410600
2022-06-29,0.420000,0.420000,0.390000,0.390000,0.390000,18863000
2022-06-30,0.390000,0.420000,0.380000,0.400000,0.400000,20085700
2022-07-01,0.390000,0.400000,0.380000,0.380000,0.380000,12973600
2022-07-05,0.380000,0.380000,0.360000,0.380000,0.380000,15653100
2022-07-06,0.370000,0.380000,0.370000,0.370000,0.370000,15087100
2022-07-07,0.370000,0.400000,0.370000,0.390000,0.390000,25805000
2022-07-08,0.390000,0.410000,0.390000,0.410000,0.410000,18642300
2022-07-11,0.400000,0.400000,0.370000,0.380000,0.380000,13943500
2022-07-12,0.370000,0.380000,0.370000,0.380000,0.380000,10547700
2022-07-13,0.370000,0.380000,0.370000,0.370000,0.370000,6162100
2022-07-14,0.370000,0.370000,0.350000,0.360000,0.360000,12934300
2022-07-15,0.370000,0.380000,0.360000,0.370000,0.370000,13401500
2022-07-18,0.380000,0.400000,0.380000,0.380000,0.380000,19979400
2022-07-19,0.380000,0.450000,0.380000,0.430000,0.430000,51728600
2022-07-20,0.430000,0.450000,0.410000,0.420000,0.420000,27415700
2022-07-21,0.410000,0.430000,0.410000,0.430000,0.430000,15573900
2022-07-22,0.420000,0.430000,0.400000,0.400000,0.400000,16714900
2022-07-25,0.400000,0.410000,0.390000,0.390000,0.390000,13447600
2022-07-26,0.390000,0.390000,0.370000,0.380000,0.380000,18086900
2022-07-27,0.390000,0.390000,0.380000,0.380000,0.380000,18276400
2022-07-28,0.380000,0.390000,0.370000,0.380000,0.380000,18805700
2022-07-29,0.380000,0.400000,0.380000,0.390000,0.390000,20748300
2022-08-01,0.380000,0.390000,0.380000,0.390000,0.390000,13518100
2022-08-02,0.380000,0.390000,0.370000,0.370000,0.370000,27093200
2022-08-03,0.370000,0.370000,0.360000,0.370000,0.370000,37087600
2022-08-04,0.360000,0.370000,0.350000,0.350000,0.350000,26916900
2022-08-05,0.350000,0.360000,0.350000,0.360000,0.360000,21732100
2022-08-08,0.370000,0.370000,0.360000,0.360000,0.360000,19491400
2022-08-09,0.360000,0.360000,0.350000,0.350000,0.350000,19177800
2022-08-10,0.350000,0.360000,0.350000,0.360000,0.360000,13532100
2022-08-11,0.360000,0.360000,0.350000,0.360000,0.360000,18680700
2022-08-12,0.360000,0.370000,0.360000,0.370000,0.370000,18600500
2022-08-15,0.360000,0.370000,0.360000,0.360000,0.360000,12728600
2022-08-16,0.360000,0.370000,0.350000,0.360000,0.360000,18225800
2022-08-17,0.360000,0.360000,0.350000,0.360000,0.360000,18043700
2022-08-18,0.360000,0.410000,0.350000,0.410000,0.410000,76334800
2022-08-19,0.390000,0.390000,0.360000,0.360000,0.360000,27784400
2022-08-22,0.360000,0.370000,0.350000,0.360000,0.360000,34820900
2022-08-23,0.360000,0.390000,0.360000,0.370000,0.370000,46237600
2022-08-24,0.370000,0.370000,0.360000,0.360000,0.360000,24580800
2022-08-25,0.360000,0.370000,0.350000,0.350000,0.350000,19160000
2022-08-26,0.360000,0.360000,0.350000,0.350000,0.350000,17339800
2022-08-29,0.350000,0.360000,0.350000,0.350000,0.350000,23829200
2022-08-30,0.360000,0.370000,0.350000,0.350000,0.350000,25211600
2022-08-31,0.350000,0.360000,0.350000,0.350000,0.350000,16343200
2022-09-01,0.350000,0.350000,0.320000,0.320000,0.320000,27799200
2022-09-02,0.330000,0.340000,0.320000,0.320000,0.320000,17039100
2022-09-06,0.330000,0.340000,0.320000,0.330000,0.330000,15060600
2022-09-07,0.330000,0.330000,0.320000,0.330000,0.330000,9390300
2022-09-08,0.330000,0.330000,0.320000,0.330000,0.330000,13583900
2022-09-09,0.320000,0.330000,0.320000,0.330000,0.330000,13509900
2022-09-12,0.330000,0.330000,0.320000,0.320000,0.320000,15140200
2022-09-13,0.320000,0.320000,0.310000,0.310000,0.310000,18645900
2022-09-14,0.310000,0.310000,0.290000,0.290000,0.290000,23328200
2022-09-15,0.290000,0.300000,0.290000,0.290000,0.290000,13328500
2022-09-16,0.290000,0.290000,0.260000,0.260000,0.260000,18931000
2022-09-19,0.270000,0.270000,0.260000,0.260000,0.260000,15342700
2022-09-20,0.260000,0.260000,0.220000,0.220000,0.220000,28406800
2022-09-21,0.220000,0.230000,0.220000,0.220000,0.220000,17413900
2022-09-22,0.230000,0.230000,0.200000,0.210000,0.210000,23607500
2022-09-23,0.200000,0.200000,0.190000,0.200000,0.200000,24232700
2022-09-26,0.200000,0.210000,0.190000,0.190000,0.190000,27111800
2022-09-27,0.190000,0.190000,0.180000,0.190000,0.190000,27998700
2022-09-28,0.190000,0.200000,0.190000,0.200000,0.200000,29971700
2022-09-29,0.210000,0.220000,0.190000,0.200000,0.200000,31948200
2022-09-30,0.200000,0.200000,0.190000,0.200000,0.200000,14418100
2022-10-03,0.210000,0.220000,0.200000,0.210000,0.210000,32117100
2022-10-04,0.210000,0.220000,0.210000,0.210000,0.210000,33417500
2022-10-05,0.210000,0.240000,0.210000,0.240000,0.240000,64547300
2022-10-06,0.250000,0.260000,0.220000,0.230000,0.230000,53631400
2022-10-07,0.220000,0.230000,0.200000,0.230000,0.230000,35109800
2022-10-10,0.220000,0.220000,0.190000,0.200000,0.200000,23626200
2022-10-11,0.190000,0.200000,0.170000,0.170000,0.170000,40388700
2022-10-12,0.170000,0.170000,0.160000,0.170000,0.170000,24746800
2022-10-13,0.170000,0.170000,0.160000,0.170000,0.170000,29272100
2022-10-14,0.170000,0.170000,0.150000,0.160000,0.160000,23998400
